_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
3650082,5156871,2023,,1973,TCHC,17,Don Valley North,2 TREE SPARROWAY,4,16,2023-02-24,76,Evaluation needs to be conducted in 2 years,16,4,3,4,3,N/A,4,N/A,4,N/A,N/A,2,5,3,5,3,5,5,4,3,4,N1721,43.791511427,-79.369045359,315330.308,4849947.465
3650083,5156814,2023,,1973,TCHC,17,Don Valley North,13 FIELD SPARROWAY,4,16,2023-02-24,81,Evaluation needs to be conducted in 2 years,16,4,3,5,3,N/A,4,N/A,5,N/A,N/A,3,5,5,4,4,4,5,4,3,4,N1721,43.790919576,-79.368770753,315334.815,4849906.373
3650084,5156815,2023,,1973,TCHC,17,Don Valley North,15 FIELD SPARROWAY,4,16,2023-02-24,80,Evaluation needs to be conducted in 2 years,16,4,3,5,3,N/A,4,N/A,5,N/A,N/A,3,5,5,3,3,5,5,4,3,4,N1721,43.791143455,-79.368819925,315333.193,4849916.905
3650085,5157421,2023,,1973,TCHC,17,Don Valley North,6 TREE SPARROWAY,4,16,2023-02-24,83,Evaluation needs to be conducted in 2 years,16,4,3,5,4,N/A,4,N/A,5,N/A,N/A,4,5,5,5,3,3,5,4,3,4,N1721,43.791384199,-79.369630481,315272.148,4849932.515
3650086,5157387,2023,,1973,TCHC,17,Don Valley North,4 TREE SPARROWAY,4,16,2023-02-24,79,Evaluation needs to be conducted in 2 years,16,5,3,5,3,N/A,4,N/A,5,N/A,N/A,3,5,3,5,3,3,5,4,3,4,N1721,43.791447811,-79.369332403,315291.755,4849938.162
3650087,5157423,,,1973,TCHC,17,Don Valley North,8 TREE SPARROWAY,4,16,2023-02-23,79,Evaluation needs to be conducted in 2 years,15,4,3,5,3,N/A,4,N/A,N/A,N/A,N/A,3,5,5,5,3,3,5,4,3,4,N1721,43.791324582,-79.369928562,315254.077,4849928.842
3650088,5186997,,,2019,PRIVATE,12,Toronto-St. Paul's,200 MADISON AVE,6,82,2023-01-31,100,Evaluation needs to be conducted in 3 years,19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,N/A,S1237,43.676442017,-79.406812986,312299.706,4837164.375
3650089,5118732,2022,,2021,PRIVATE,13,Toronto Centre,25 NICHOLAS AVE,29,346,2023-01-27,100,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S1330,,,316225.666,4835308.898
3650090,5156142,2023,,1889,PRIVATE,13,Toronto Centre,109 PEMBROKE ST,4,20,2023-01-27,67,Evaluation needs to be conducted in 2 years,14,3,4,3,3,2,3,N/A,4,N/A,N/A,3,3,5,3,3,4,N/A,4,N/A,N/A,S1328,43.660120206,-79.3728278301,315041.504,4835359.918
3650091,5156008,2022,,1885,PRIVATE,09,Davenport,267 BROCK AVE,3,11,2023-01-24,73,Evaluation needs to be conducted in 2 years,14,3,3,4,4,N/A,4,N/A,5,5,N/A,3,4,3,2,4,3,N/A,4,N/A,N/A,S0936,43.649450698,-79.435105646,310019.153,4834169.75
